Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Calvin Ziegler,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cristian Alvarado,0.0,0,0,0,0.0,9999,0.0,FA,-5.41223976827887
Free Agent,AJ Russell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Orlando Ribalta,0.0,0,0,0,0.0,9999,0.0,FA,-13.59
Free Agent,Fernando Perez,0.0,0,0,0,0.0,9999,0.0,FA,6.30942939459724
Free Agent,Manuel Mercedes,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Christian Montes De Oca,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Logan VanWey,0.0,0,0,0,0.0,9999,0.0,FA,28.9957126330097
Free Agent,Brady Afthim,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Bryce Hubbart,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Rob Zastryzny,2.53,31,0,5,1.28,727,0.0,FA,-5.85
Free Agent,Zach Swanson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Emiliano Teodo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Backhus,5.14,8,0,4,1.71,939,0.0,FA,-5.73
Free Agent,Sean Brady,0.0,0,0,0,0.0,9999,0.0,FA,-24.2759321051456
Free Agent,Tom Windle,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jack Anderson,0.0,0,0,0,0.0,9999,0.0,FA,-5.91965057702174
Free Agent,Luke Leftwich,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Anthony Bender,3.05,62,0,28,1.23,702,0.0,FA,0.37
Free Agent,Bryce Miller,3.87,124,9,0,1.11,263,0.0,FA,0.7
Free Agent,Jeffrey Springs,3.88,120,13,0,1.24,447,0.0,FA,-14.16
Free Agent,Colby Suggs,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Viza,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Justin Lamkin,0.0,0,0,0,0.0,9999,0.0,FA,-4.96023533021454
Free Agent,Tyler Alexander,0.0,0,0,0,0.0,9999,0.0,FA,-9.54
Free Agent,Ryan Hennen,0.0,0,0,0,0.0,9999,0.0,FA,-6.96406601456498
Free Agent,Blake Rivera,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Max Meyer,4.32,138,11,0,1.38,567,0.0,FA,-8.63
Free Agent,Wily Peralta,0.0,0,0,0,0.0,9999,0.0,FA,-4.01381760235769
Free Agent,Carson Palmquist,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jason Stoffel,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chia-Shi Shen,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jayden Murray,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Marques Johnson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mason Burns,0.0,0,0,0,0.0,9999,0.0,FA,14.9677363823069
Free Agent,Chasen Shreve,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Bobby Miller,0.0,0,0,0,0.0,9999,0.0,FA,-1.0963693024459
Free Agent,Yerlin Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,0.653935809232842
Free Agent,Freddy Pacheco,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Austin Adams,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zack Kelly,0.0,0,0,0,0.0,9999,0.0,FA,-7.21
Free Agent,Peyton Gray,0.0,0,0,0,0.0,9999,0.0,FA,-9.26213874162803
Free Agent,Austin Bergner,0.0,0,0,0,0.0,9999,0.0,FA,0.663951960183503
Free Agent,Logan Gillaspie,0.0,0,0,0,0.0,9999,0.0,FA,35.5744012950271
Free Agent,Jose Geraldo,0.0,0,0,0,0.0,9999,0.0,FA,4.83378871813283
Free Agent,Jared Simpson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yosber Sanchez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Grant Shepardson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ty Johnson,0.0,0,0,0,0.0,9999,0.0,FA,-9.15583054613195
Free Agent,Chandler Champlain,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brandon Neeck,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Carlos Guarate,0.0,0,0,0,0.0,9999,0.0,FA,-5.84606754653313
Free Agent,Pedro Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,-14.3073992367924
Free Agent,Will Smith,0.0,0,0,0,0.0,9999,14.0,B,0.0
Free Agent,Dominic Pipkin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Winston Santos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ivan Pineyro,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Justin Yeager,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joel Valdez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Daniel Camarena,0.0,0,0,0,0.0,9999,0.0,FA,8.54634699225872
Free Agent,Sean Hjelle,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jonathan Stiever,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Seth Corry,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Blane Abeyta,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Maxwell,0.0,0,0,0,0.0,9999,0.0,FA,-10.86
Free Agent,Victor Payano,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cole Henry,5.08,76,0,22,1.69,862,0.0,FA,-8.75
Free Agent,Barrett Kent,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Wander Arias,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Sauer,0.0,0,0,0,0.0,9999,0.0,FA,-4.8961017187413
Free Agent,Cody Poteet,0.0,0,0,0,0.0,9999,0.0,FA,0.893617565486814
Free Agent,Kade Morris,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Marcus Stroman,0.0,0,0,0,0.0,9999,0.0,FA,-15.05
Free Agent,Jacob Latz,3.25,123,7,0,1.15,434,0.0,FA,-9.72
Free Agent,Stephen Jones,0.0,0,0,0,0.0,9999,0.0,FA,-9.30921916921304
Free Agent,Nate Pearson,0.0,0,0,0,0.0,9999,0.0,FA,-9.53
Free Agent,Sean Sullivan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matthew Olsen,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jerming Rosario,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,David Hurlbut,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Walker,3.26,62,0,35,1.07,259,0.0,FA,9.51
Free Agent,Josh Martin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michael Massey,0.0,0,0,0,0.0,9999,0.0,FA,-9.21111596155249
Free Agent,Tyler Brown,0.0,0,0,0,0.0,9999,0.0,FA,-7.73702040879836
Free Agent,Seth Lonsway,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Logan Cozart,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cam Sanders,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Reid VanScoter,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tony Locey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Bergert,0.0,0,0,0,0.0,9999,0.0,FA,-11.0
Free Agent,Eric Orze,3.47,94,0,11,1.43,728,0.0,FA,-8.45
Free Agent,Forrest Whitley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hueston Morrill,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chance Kirby,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Moseley,0.0,0,0,0,0.0,9999,0.0,FA,10.1500741728815
Free Agent,Cristian Javier,3.12,118,9,0,1.14,380,0.0,FA,-17.03
Free Agent,Zane Taylor,0.0,0,0,0,0.0,9999,0.0,FA,10.2486228739227
Free Agent,Tim Elliott,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Shane McCain,0.0,0,0,0,0.0,9999,0.0,FA,10.1821859038093
Free Agent,Slade Smith,0.0,0,0,0,0.0,9999,0.0,FA,23.7579718538709
Free Agent,Tylor Megill,0.0,0,0,0,0.0,9999,0.0,FA,11.5936144459904
Free Agent,Camden Minacci,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hector Mendoza,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Adam Hofacket,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Grayson Grinsell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Doug Nikhazy,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Colin Holderman,5.04,45,0,16,1.62,908,0.0,FA,-7.36
Free Agent,Cameron Foster,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mario Meza,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jonah Wesely,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Franklin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cade Denton,0.0,0,0,0,0.0,9999,0.0,FA,2.09483571814749
Free Agent,Nigel Belgrave,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Antoine Kelly,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Peter Solomon,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Alberto Rivera,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Pidich,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dominic Leone,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ian Leatherman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Davidjohn Herz,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Austin Peterson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Mesa,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Helcris Olivarez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Travis Smith,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ben Wright,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jackson Kirkpatrick,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Keagan Gillies,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,DL Hall,3.94,68,0,10,1.18,721,0.0,FA,-6.35
Free Agent,Logan Hofmann,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nathan Lavender,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,AJ Labas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Grant Rogers,0.0,0,0,0,0.0,9999,0.0,FA,-7.7854740177715
Free Agent,Zane Morehouse,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lucas Elissalt,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Peyton Remy,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Carlos Espinosa,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ty Blach,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joe Whitman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Krook,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Domingo German,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cesar Lares,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tommy Vail,0.0,0,0,0,0.0,9999,0.0,FA,-8.3196562939367
Free Agent,Erik Sabrowski,2.25,84,0,22,1.42,694,0.0,FA,1.23
Free Agent,Barrett Loseke,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Blake Taylor,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jordan Hicks,5.4,39,2,0,1.47,900,0.0,FA,-9.01
Free Agent,Brad Lord,4.54,92,0,21,1.35,740,0.0,FA,-4.95
Free Agent,Peyton Fosher,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ubert Mejias,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cesar Valdez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Wendolyn Bautista,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jared Kelley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Gene Escat,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Jones,0.0,0,0,0,0.0,9999,0.0,FA,6.16738322910557
Free Agent,Adam Ottavino,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Shirk,0.0,0,0,0,0.0,9999,0.0,FA,-3.81808212475584
Free Agent,Daniel Eagen,0.0,0,0,0,0.0,9999,0.0,FA,8.54634699225872
Free Agent,Trey Ball,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Justin Jarvis,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Keegan Curtis,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Amendt,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mason Fox,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Juan Abreu,0.0,0,0,0,0.0,9999,0.0,FA,17.3076839603458
Free Agent,Kade Anderson,0.0,0,0,0,0.0,9999,0.0,FA,-1.6895442437461
Free Agent,Hunter Dobbins,4.12,39,4,1,1.25,804,0.0,FA,-10.57
Free Agent,Darin Gorski,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Colin Selby,3.6,5,0,1,1.2,922,0.0,FA,-5.51
Free Agent,Dylan Wilson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Palisch,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Seth Simmons,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dylan Lee,2.91,76,0,23,1.03,566,0.0,FA,8.08
Free Agent,Braian Salazar,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dylan Unsworth,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Ferrer,4.35,55,0,24,1.23,790,0.0,FA,9.34329714110452
Free Agent,Chris McMahon,0.0,0,0,0,0.0,9999,0.0,FA,9.11614131505501
Free Agent,Brian Marconi,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Freeland,4.27,114,14,0,1.31,668,0.0,FA,-35.31
Free Agent,Ben Leeper,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jacob Evans,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dasan Hill,0.0,0,0,0,0.0,9999,0.0,FA,-8.75579138388317
Free Agent,Ryan Ledbetter,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Gage,3.86,14,0,1,1.71,935,0.0,FA,-4.9
Free Agent,Mitch Bratt,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brayan Castillo,0.0,0,0,0,0.0,9999,0.0,FA,-10.0688142109361
Free Agent,Dixon Llorens,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ben Casparius,4.36,29,1,0,1.26,825,0.0,FA,-7.32
Free Agent,A.J. Blubaugh,2.54,37,2,0,1.0,699,0.0,FA,-8.4261907663018
Free Agent,Jon Heasley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,David Parkinson,0.0,0,0,0,0.0,9999,0.0,FA,-4.527373987489
Free Agent,Mark Serrano,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brady Basso,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Anderson Severino,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Reed,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Johan Simon,0.0,0,0,0,0.0,9999,0.0,FA,-8.44813296759561
Free Agent,Luke Westphal,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Vincent Timpanelli,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Frank Duncan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Adrian Alcantara,0.0,0,0,0,0.0,9999,0.0,FA,-2.59145664388518
Free Agent,Chris Bassitt,3.46,149,11,0,1.22,365,0.0,FA,-8.54
Free Agent,Cade Winquest,3.6,9,0,2,1.2,909,0.0,FA,0.0
Free Agent,Edward Cabrera,3.37,147,8,0,1.17,188,0.0,FA,2.39
Free Agent,Travis Adams,6.46,68,0,10,1.44,938,0.0,FA,-12.61
Free Agent,Art Warren,0.0,0,0,0,0.0,9999,0.0,FA,-6.24938970134828
Free Agent,Zach Vennaro,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Wei-En Lin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jared Southard,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Custred,0.0,0,0,0,0.0,9999,0.0,FA,-8.6699101242085
Free Agent,Adonis Medina,0.0,0,0,0,0.0,9999,0.0,FA,-13.0908285310577
Free Agent,Adam Serwinowski,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dylan Dodd,0.0,0,0,0,0.0,9999,0.0,FA,-6.43
Free Agent,Rafael Montero,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Rylan Kaufman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Daniel Procopio,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alex Hoppe,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ricardo Pinto,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alejandro Rosario,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Francisco Morales,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Logan Lombana,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Carlos Alvarado,0.0,0,0,0,0.0,9999,0.0,FA,4.83378871813283
Free Agent,Mitchell Stumpo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brett McKinney,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yorlin Calderon,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Travis Lakins,0.0,0,0,0,0.0,9999,0.0,FA,-12.6125241566967
Free Agent,Derek West,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Robert Suarez,2.73,63,0,11,0.91,482,0.0,FA,9.87
Free Agent,Davis Sharpe,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Garrett McDaniels,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jeremy Fitzgerald,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ofelky Peralta,0.0,0,0,0,0.0,9999,0.0,FA,15.0624433595082
Free Agent,Matt Tabor,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dylan Bice,0.0,0,0,0,0.0,9999,0.0,FA,8.07886316114396
Free Agent,Brad Hand,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Wantz,0.0,0,0,0,0.0,9999,0.0,FA,-16.3151538424642
Free Agent,Joe Barlow,0.0,0,0,0,0.0,9999,0.0,FA,-5.23659894563698
Free Agent,Brady Puckett,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Chafin,0.0,0,0,0,0.0,9999,0.0,FA,-16.3151538424642
Free Agent,Derek Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,-7.36113595645908
Free Agent,Victor Juarez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Bryce Conley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Daniel Palencia,3.09,64,0,37,1.11,136,0.0,FA,8.55
Free Agent,Dennis Colleran,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Thornton,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Griff McGarry,0.0,0,0,0,0.0,9999,0.0,FA,-8.52
Free Agent,Holden Laws,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Julio Teheran,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Austin Wood,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hayden Snelsire,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Phillips,3.55,49,0,10,1.18,780,0.0,FA,-7.69
Free Agent,Jacob Webb,0.0,0,0,0,0.0,9999,0.0,FA,-4.48
Free Agent,Matt Mikulski,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Cleveland,0.0,0,0,0,0.0,9999,0.0,FA,-9.54064021415832
Free Agent,Andrew Walling,0.0,0,0,0,0.0,9999,0.0,FA,-16.3151538424642
Free Agent,Simeon Woods Richardson,3.98,120,5,0,1.23,537,0.0,FA,-17.2
Free Agent,Jeff Lindgren,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Levi Wells,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Evan Elliott,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,William English,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yariel Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,-14.3073992367924
Free Agent,Brad Roney,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Misiaszek,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nick Pasquale,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Murphy,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joe Jacques,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cody Stull,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Karch Kowalczyk,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Raul Alcantara,0.0,0,0,0,0.0,9999,0.0,FA,-2.59145664388518
Free Agent,Cole Johnson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alexander Almonte,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alexander Cornielle,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jeff Belge,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dario Gardea,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Duncan Davitt,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Aaron Watson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jacob Brentz,0.0,0,0,0,0.0,9999,0.0,FA,-9.72159701748664
Free Agent,Ryan Johnson,5.83,63,4,0,1.65,902,0.0,FA,-9.16
Free Agent,Evan Shawver,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,David Holman,0.0,0,0,0,0.0,9999,0.0,FA,-4.74263901526436
Free Agent,Junior Garcia,0.0,0,0,0,0.0,9999,0.0,FA,-7.22146724033886
Free Agent,Victor Santos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yordin Chalas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Bravo,0.0,0,0,0,0.0,9999,0.0,FA,-6.13502007238028
Free Agent,Yhoiker Fajardo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Adbert Alzolay,0.0,0,0,0,0.0,9999,0.0,FA,-4.99
Free Agent,Carlos Pena,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Noah Denoyer,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chase Huchingson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Cabrera,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Danny Gutierrez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mick Abel,4.19,128,9,0,1.28,269,0.0,FA,-21.98
Free Agent,Isaac Gallegos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Danny Coulombe,2.48,47,0,16,1.2,752,0.0,FA,-0.78
Free Agent,Reinold Navarro,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Case,0.0,0,0,0,0.0,9999,0.0,FA,-16.3151538424642
Free Agent,Darwinzon Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lazaro Estrada,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brandon Koch,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Donovan Benoit,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Brinley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jimmy Robbins,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yaya Chentouf,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Clayton Cook,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jhonleider Salinas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Eric Lauer,3.48,60,4,0,1.19,677,0.0,FA,-5.87
Free Agent,Martires Arias,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tommy Collier,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kaleb Fontenot,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Charlie Shirek,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Muller,0.0,0,0,0,0.0,9999,0.0,FA,-6.23721706051679
Free Agent,Nick Zwack,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Trey Cochran-Gill,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Adrian Florencio,0.0,0,0,0,0.0,9999,0.0,FA,7.36082049072587
Free Agent,Gabriel Barbosa,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mike Morin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cole Irvin,0.0,0,0,0,0.0,9999,0.0,FA,-7.4806819511781
Free Agent,Thomas Burrows,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jordan Weems,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brian Walters,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cory Taylor,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Austin Drury,0.0,0,0,0,0.0,9999,0.0,FA,-6.24938970134828
Free Agent,Nick Garcia,0.0,0,0,0,0.0,9999,0.0,FA,-7.22146724033886
