Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Zane Mills,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michel Otanez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alex Vesia,2.72,74,0,29,1.08,593,0.0,FA,9.66
Free Agent,Angel Macuare,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Holton,3.3,50,0,17,0.97,644,0.0,FA,6.31
Free Agent,Harold Chirino,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lucas Gilbreath,0.0,0,0,0,0.0,9999,0.0,FA,-14.4500620590088
Free Agent,Brody Hopkins,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Logan Gragg,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Sean Sullivan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Elliott,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Marcus Mack,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Houston Harding,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Hooper,0.0,0,0,0,0.0,9999,0.0,FA,-6.23721706051679
Free Agent,Jose Fleury,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Blake Bass,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Justus Sheffield,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Grant Anderson,3.92,67,0,7,1.32,733,0.0,FA,-5.92
Free Agent,Malvin Pena,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Justin Topa,4.04,59,0,14,1.46,805,0.0,FA,-1.77
Free Agent,Tim Shibuya,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Gavin Collyer,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Rayven Antonio,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Jackson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Rafael Cova,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ian Kahaloa,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ben Lively,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chase Mobley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake McCasland,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luke Little,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Travis MacGregor,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luis De Avila,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jonathan Teaney,0.0,0,0,0,0.0,9999,0.0,FA,-21.5245439945036
Free Agent,Chase Jessee,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Arturo Reyes,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Scott Gracey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Austin Love,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Carter Spivey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Steven Matz,3.68,115,6,0,1.24,478,0.0,FA,-4.78
Free Agent,Mitch Lambson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Alexander,4.67,43,2,0,1.26,792,0.0,FA,-9.54
Free Agent,Bryce Mayer,0.0,0,0,0,0.0,9999,0.0,FA,0.698938980722846
Free Agent,Anthony Veneziano,0.0,0,0,0,0.0,9999,0.0,FA,0.370077445216895
Free Agent,Hagen Smith,0.0,0,0,0,0.0,9999,0.0,FA,23.7579718538709
Free Agent,Norge Vera,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luke Farrell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Edwin Nunez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zack Littell,3.91,113,14,0,1.21,511,0.0,FA,-8.03
Free Agent,Mason Hickman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michael Mader,0.0,0,0,0,0.0,9999,0.0,FA,-9.94576469110574
Free Agent,Alex Pham,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Keyner Martinez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Justin Kelly,0.0,0,0,0,0.0,9999,0.0,FA,4.60387322963851
Free Agent,Gavin Hollowell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Karl Kauffmann,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Davian Garcia,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jesus Estrada,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brian Howard,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tanner Houck,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Bennett,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Carter Baumler,3.86,50,0,12,1.18,732,0.0,FA,-11.0
Free Agent,Bryan Baker,4.24,80,0,22,1.1,686,0.0,FA,4.3
Free Agent,Jarlin Susana,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Max Scherzer,4.43,60,5,1,1.22,705,0.0,FA,-6.08
Free Agent,Mason Green,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tanner Chleborad,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Wil Browning,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michael Costanzo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Erik Swanson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Miguel Nunez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Will Sanders,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nathan Burns,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nick Morreale,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Louie Varland,4.35,66,0,26,1.38,720,0.0,FA,4.57798757247982
Free Agent,Jerry Keel,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Daniel Bard,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nick Snyder,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,McCade Brown,5.55,52,3,1,1.55,899,0.0,FA,-13.13
